"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44200","Test #1 [g_b_date] should accept value: ""<dynamic>""","Add Student 2 - Test Guardian Details Only","Thu Jun 05 04:50:37 GMT+08:00 2025","passed","Thu Jun 05 04:51:21 GMT+08:00 2025","","Field: g_b_date","",""
"","36270","Email - Valid Input (example@email.com)","","Thu Jun 05 01:31:41 GMT+08:00 2025","passed","Thu Jun 05 01:32:17 GMT+08:00 2025","","Edit Profile","",""
"","13282","Password - Invalid Input (Blank)","","Thu Jun 05 01:35:08 GMT+08:00 2025","passed","Thu Jun 05 01:35:21 GMT+08:00 2025","","Edit Profile","",""
"","18744","Password - Invalid Input (Alphanumeric)","","Thu Jun 05 01:35:58 GMT+08:00 2025","failed","Thu Jun 05 01:36:17 GMT+08:00 2025","","Edit Profile","",""
"","17431","Password - Invalid Input (Alphabets)","","Thu Jun 05 01:35:22 GMT+08:00 2025","failed","Thu Jun 05 01:35:40 GMT+08:00 2025","","Edit Profile","",""
"","55724","Test #5 [email] should reject value: """"","Add Student 1 - Test Student Details Only","Thu Jun 05 04:02:34 GMT+08:00 2025","passed","Thu Jun 05 04:03:29 GMT+08:00 2025","","Field: email","",""
"","23299","Full Name - Invalid Input (Numbers)","","Thu Jun 05 01:27:57 GMT+08:00 2025","failed","Thu Jun 05 01:28:20 GMT+08:00 2025","","Edit Profile","",""
"","12730","Email - Invalid Input (blank)","","Thu Jun 05 01:33:16 GMT+08:00 2025","passed","Thu Jun 05 01:33:29 GMT+08:00 2025","","Edit Profile","",""
"","41793","Test #1 [fileToUpload] should accept value: ""student.jpg""","Add Student 1 - Test Student Details Only","Thu Jun 05 04:09:44 GMT+08:00 2025","passed","Thu Jun 05 04:10:26 GMT+08:00 2025","","Field: fileToUpload","",""
"","5513","Password - Valid Input","","Wed Jun 04 17:04:03 GMT+08:00 2025","passed","Wed Jun 04 17:04:09 GMT+08:00 2025","","Login Application - Equivalence Partitioning","",""
"","19993","Email - Invalid Input (Missing @ )","","Thu Jun 05 01:32:19 GMT+08:00 2025","passed","Thu Jun 05 01:32:39 GMT+08:00 2025","","Edit Profile","",""
"","15086","Grade - Invalid Input (Number)","","Wed Jun 04 17:11:38 GMT+08:00 2025","failed","Wed Jun 04 17:11:54 GMT+08:00 2025","","Add Grade","",""
"","47598","Test #2 [i_name] should reject value: ""11111""","Add Student 1 - Test Student Details Only","Thu Jun 05 03:55:46 GMT+08:00 2025","failed","Thu Jun 05 03:56:34 GMT+08:00 2025","","Field: i_name","",""
"","65530","Test #3 [phone] should reject value: ""@#^&*$%""","Add Student 1 - Test Student Details Only","Thu Jun 05 04:06:04 GMT+08:00 2025","passed","Thu Jun 05 04:07:10 GMT+08:00 2025","","Field: phone","",""
"","23064","Hall Charge - Invalid Input (Space)","","Wed Jun 04 17:10:06 GMT+08:00 2025","failed","Wed Jun 04 17:10:30 GMT+08:00 2025","","Add Grade","",""
"","12883","Grade name - Invalid Input (Spaces)","","Wed Jun 04 17:08:28 GMT+08:00 2025","failed","Wed Jun 04 17:08:40 GMT+08:00 2025","","Add Grade","",""
"","8798","Password - Invalid (incorrect password)","","Wed Jun 04 17:04:17 GMT+08:00 2025","passed","Wed Jun 04 17:04:26 GMT+08:00 2025","","Login Application - Equivalence Partitioning","",""
"","38077","Test #1 [g_full_name] should accept value: ""<dynamic>""","Add Student 2 - Test Guardian Details Only","Thu Jun 05 04:40:41 GMT+08:00 2025","passed","Thu Jun 05 04:41:19 GMT+08:00 2025","","Field: g_full_name","",""
"","51724","Test #4 [email] should reject value: ""admin@gmail""","Add Student 1 - Test Student Details Only","Thu Jun 05 04:01:41 GMT+08:00 2025","passed","Thu Jun 05 04:02:33 GMT+08:00 2025","","Field: email","",""
"","28075","Name With Initials - Invalid Input","","Thu Jun 05 01:29:28 GMT+08:00 2025","failed","Thu Jun 05 01:29:57 GMT+08:00 2025","","Edit Profile","",""
"","21082","Phone Number - Valid Input (integer only, length: 10-11)","","Thu Jun 05 01:33:29 GMT+08:00 2025","passed","Thu Jun 05 01:33:50 GMT+08:00 2025","","Edit Profile","",""
"","35403","Test #3 [g_phone] should reject value: ""@#^&*$%""","Add Student 2 - Test Guardian Details Only","Thu Jun 05 04:48:53 GMT+08:00 2025","passed","Thu Jun 05 04:49:28 GMT+08:00 2025","","Field: g_phone","",""
"","15705","Full Name - Invalid Input (Blanks)","","Thu Jun 05 01:28:42 GMT+08:00 2025","passed","Thu Jun 05 01:28:57 GMT+08:00 2025","","Edit Profile","",""
"","36783","Test #1 [g_i_name] should accept value: ""<dynamic>""","Add Student 2 - Test Guardian Details Only","Thu Jun 05 04:41:51 GMT+08:00 2025","passed","Thu Jun 05 04:42:28 GMT+08:00 2025","","Field: g_i_name","",""
"","41267","Test #2 [g_address] should reject value: ""abc""","Add Student 2 - Test Guardian Details Only","Thu Jun 05 04:43:46 GMT+08:00 2025","failed","Thu Jun 05 04:44:27 GMT+08:00 2025","","Field: g_address","",""
"","14196","Email - Invalid Input (missing domain)","","Thu Jun 05 01:33:01 GMT+08:00 2025","passed","Thu Jun 05 01:33:15 GMT+08:00 2025","","Edit Profile","",""
"","42362","Test #2 [g_fileToUpload] should reject value: ""guardian.txt""","Add Student 2 - Test Guardian Details Only","Thu Jun 05 04:52:42 GMT+08:00 2025","passed","Thu Jun 05 04:53:24 GMT+08:00 2025","","Field: g_fileToUpload","",""
